,CommunityName,IncorporationType,BoroughCensusArea,NativeRegionalHealthCarePro,SchoolDistrict,ClimateRegion,EnergyRegion,EconomicRegion,sqMiLand,sqMiWater
324,Ohogamiut,Unincorporated,Kusilvak Census Area,Yukon-Kuskokwim Health Corporation,,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,0.0,0.0
325,Ophir,Unincorporated,Yukon-Koyukuk Census Area,,,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,0.0,0.0
326,Paimiut,Unincorporated,Kusilvak Census Area,Yukon-Kuskokwim Health Corporation,,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,0.0,0.0
327,Poorman,Unincorporated,Yukon-Koyukuk Census Area,Southcentral Foundation,,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,,
328,Saint Lawrence Island,Unincorporated,Nome Census Area,Norton Sound Health Corporation,Bering Strait School District,Western Transitional,Bering Straits,Northern Economic Region,,
329,Shakan Bay,Unincorporated,Prince of Wales-Hyder Census Area,Southeast Alaska Regional Health Consortium,,Southeast Maritime,Southeast,Southeast Economic Region,,
330,Eareckson Station,Unincorporated,Aleutians West Census Area,"Aleutian Pribilof Islands Association, Incorporated",,Southwest Maritime,Aleutians,Southwest Economic Region,,
331,Solomon,Unincorporated,Nome Census Area,Peninsula Community Health Services,,Western Transitional,Bering Straits,Northern Economic Region,0.0,0.0
332,Telida,Unincorporated,Yukon-Koyukuk Census Area,,,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,,
333,Umkumiute,Unincorporated,Bethel Census Area,Bristol Bay Area Health Corporation,,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,,
334,Alcan Border,Unincorporated CDP,Southeast Fairbanks Census Area,"Tanana Chiefs Conference, Department of Health Services",Alaska Gateway School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,0.0,0.0
335,Deltana,Unincorporated CDP,Southeast Fairbanks Census Area,"Tanana Chiefs Conference, Department of Health Services",Delta-Greely School District,Continental,Railbelt,Interior Economic Region,,
336,Dot Lake,Unincorporated CDP,Southeast Fairbanks Census Area,"Tanana Chiefs Conference, Department of Health Services",Alaska Gateway School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,,
337,Dry Creek,Unincorporated CDP,Southeast Fairbanks Census Area,"Tanana Chiefs Conference, Department of Health Services",Alaska Gateway School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,,
338,Elfin Cove,Unincorporated CDP,Hoonah-Angoon Census Area,Southeast Alaska Regional Health Consortium,Chatham School District,Southeast Maritime,Southeast,Southeast Economic Region,,
339,Four Mile Road,Unincorporated CDP,Yukon-Koyukuk Census Area,,Nenana City School District,Continental,Railbelt,Interior Economic Region,,
340,Gakona,Unincorporated CDP,Copper River Census Area,Copper River Native Association,Copper River School District,Transitional,Copper River/Chugach,Gulf Coast Economic Region,,
341,Glennallen,Unincorporated CDP,Copper River Census Area,Copper River Native Association,Copper River School District,Transitional,Copper River/Chugach,Gulf Coast Economic Region,,
342,Gulkana,Unincorporated CDP,Copper River Census Area,Copper River Native Association,Copper River School District,Transitional,Copper River/Chugach,Gulf Coast Economic Region,0.0,0.0
343,Healy Lake,Unincorporated CDP,Southeast Fairbanks Census Area,"Tanana Chiefs Conference, Department of Health Services",Delta-Greely School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,0.0,0.0
344,Hollis,Unincorporated CDP,Prince of Wales-Hyder Census Area,Southeast Alaska Regional Health Consortium,Southeast Island School District,Southeast Maritime,Southeast,Southeast Economic Region,0.0,0.0
345,Hyder,Unincorporated CDP,Prince of Wales-Hyder Census Area,Southeast Alaska Regional Health Consortium,Southeast Island School District,Southeast Maritime,Southeast,Southeast Economic Region,,
346,Kasigluk,Unincorporated CDP,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Lower Kuskokwim School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,,
347,Kenny Lake,Unincorporated CDP,Copper River Census Area,Copper River Native Association,Copper River School District,Transitional,Copper River/Chugach,Gulf Coast Economic Region,,
348,Kipnuk,Unincorporated CDP,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Lower Kuskokwim School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,0.0,0.0
349,Gold Sand Acres,Unincorporated,Southeast Fairbanks Census Area,"Tanana Chiefs Conference, Department of Health Services",Delta-Greely School District,Continental,Railbelt,Interior Economic Region,0.0,0.0
350,Akiachak,Unincorporated CDP,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Yupiit School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,0.0,0.0
351,Alatna,Unincorporated CDP,Yukon-Koyukuk Census Area,"Tanana Chiefs Conference, Department of Health Services",Yukon-Koyukuk School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,,
352,Arctic Village,Unincorporated CDP,Yukon-Koyukuk Census Area,"Council of Athabascan Tribal Governments, Incorporated",Yukon Flats School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,0.0,0.0
353,Atmautluak,Unincorporated CDP,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Lower Kuskokwim School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,,
354,Beaver,Unincorporated CDP,Yukon-Koyukuk Census Area,"Council of Athabascan Tribal Governments, Incorporated",Yukon Flats School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,,
355,Birch Creek,Unincorporated CDP,Yukon-Koyukuk Census Area,"Council of Athabascan Tribal Governments, Incorporated",Yukon Flats School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,0.0,0.0
356,Central,Unincorporated CDP,Yukon-Koyukuk Census Area,,Yukon Flats School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,0.0,0.0
357,Chalkyitsik,Unincorporated CDP,Yukon-Koyukuk Census Area,"Tanana Chiefs Conference, Department of Health Services",Yukon Flats School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,0.0,0.0
358,Chenega,Unincorporated CDP,Chugach Census Area,Chugachmiut,Chugach School District,Gulf Coast Maritime,Copper River/Chugach,Gulf Coast Economic Region,0.0,0.0
359,Chistochina,Unincorporated CDP,Copper River Census Area,Mt. Sanford Tribal Consortium,Copper River School District,Transitional,Copper River/Chugach,Gulf Coast Economic Region,0.0,0.0
360,Chitina,Unincorporated CDP,Copper River Census Area,Copper River Native Association,Copper River School District,Transitional,Copper River/Chugach,Gulf Coast Economic Region,0.0,0.0
361,Circle,Unincorporated CDP,Yukon-Koyukuk Census Area,"Council of Athabascan Tribal Governments, Incorporated",Yukon Flats School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,0.0,0.0
362,Copper Center,Unincorporated CDP,Copper River Census Area,Copper River Native Association,Copper River School District,Transitional,Copper River/Chugach,Gulf Coast Economic Region,,
363,Crooked Creek,Unincorporated CDP,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Kuspuk School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,,
364,Klukwan,Unincorporated CDP,Hoonah-Angoon Census Area,Southeast Alaska Regional Health Consortium,Chatham School District,Southeast Maritime,Southeast,Southeast Economic Region,,
365,Koliganek,Unincorporated CDP,Dillingham Census Area,Bristol Bay Area Health Corporation,Southwest Region School District,Western Transitional,Bristol Bay,Southwest Economic Region,,
366,Kongiganak,Unincorporated CDP,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Lower Kuskokwim School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,,
367,Kwigillingok,Unincorporated CDP,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Lower Kuskokwim School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,,
368,Lime Village,Unincorporated CDP,Bethel Census Area,,Iditarod Area School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,,
369,Manley Hot Springs,Unincorporated CDP,Yukon-Koyukuk Census Area,"Tanana Chiefs Conference, Department of Health Services",Yukon-Koyukuk School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,,
370,McCarthy,Unincorporated CDP,Copper River Census Area,Copper River Native Association,Copper River School District,Transitional,Copper River/Chugach,Gulf Coast Economic Region,,
371,Mendeltna,Unincorporated CDP,Copper River Census Area,Copper River Native Association,Copper River School District,Transitional,Copper River/Chugach,Gulf Coast Economic Region,,
372,Mentasta Lake,Unincorporated CDP,Copper River Census Area,Mt. Sanford Tribal Consortium,Alaska Gateway School District,Transitional,Copper River/Chugach,Gulf Coast Economic Region,,
373,Minto,Unincorporated CDP,Yukon-Koyukuk Census Area,"Tanana Chiefs Conference, Department of Health Services",Yukon-Koyukuk School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,0.0,0.0
374,Naukati Bay,Unincorporated CDP,Prince of Wales-Hyder Census Area,Southeast Alaska Regional Health Consortium,Southeast Island School District,Southeast Maritime,Southeast,Southeast Economic Region,0.0,0.0
375,Nelchina,Unincorporated CDP,Copper River Census Area,Copper River Native Association,Copper River School District,Transitional,Copper River/Chugach,Gulf Coast Economic Region,,
376,Newtok,Unincorporated CDP,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Lower Kuskokwim School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,0.0,0.0
377,Nikolski,Unincorporated CDP,Aleutians West Census Area,"Aleutian Pribilof Islands Association, Incorporated",Aleutian Region School District,Southwest Maritime,Aleutians,Southwest Economic Region,,
378,Northway Village,Unincorporated,Southeast Fairbanks Census Area,"Tanana Chiefs Conference, Department of Health Services",Alaska Gateway School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,0.0,0.0
379,Oscarville,Unincorporated CDP,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Lower Kuskokwim School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,0.0,0.0
380,Paxson,Unincorporated CDP,Copper River Census Area,Copper River Native Association,Copper River School District,Transitional,Copper River/Chugach,Gulf Coast Economic Region,,
381,Pitkas Point,Unincorporated CDP,Kusilvak Census Area,Yukon-Kuskokwim Health Corporation,Lower Yukon School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,,
382,Point Baker,Unincorporated CDP,Prince of Wales-Hyder Census Area,Southeast Alaska Regional Health Consortium,Southeast Island School District,Southeast Maritime,Southeast,Southeast Economic Region,,
383,Port Protection,Unincorporated CDP,Prince of Wales-Hyder Census Area,Southeast Alaska Regional Health Consortium,Southeast Island School District,Southeast Maritime,Southeast,Southeast Economic Region,0.0,0.0
384,Rampart,Unincorporated CDP,Yukon-Koyukuk Census Area,"Tanana Chiefs Conference, Department of Health Services",Yukon-Koyukuk School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,0.0,0.0
385,Red Devil,Unincorporated CDP,Bethel Census Area,,Kuspuk School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,,
386,Silver Springs,Unincorporated CDP,Copper River Census Area,Copper River Native Association,Copper River School District,Transitional,Copper River/Chugach,Gulf Coast Economic Region,,
387,Slana,Unincorporated CDP,Copper River Census Area,Copper River Native Association,Copper River School District,Transitional,Copper River/Chugach,Gulf Coast Economic Region,,
388,Sleetmute,Unincorporated CDP,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Kuspuk School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,,
389,Stevens Village,Unincorporated CDP,Yukon-Koyukuk Census Area,"Tanana Chiefs Conference, Department of Health Services",Yukon Flats School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,,
390,Stony River,Unincorporated CDP,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Kuspuk School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,,
391,Takotna,Unincorporated CDP,Yukon-Koyukuk Census Area,"Tanana Chiefs Conference, Department of Health Services",Iditarod Area School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,,
392,Tanacross,Unincorporated CDP,Southeast Fairbanks Census Area,"Tanana Chiefs Conference, Department of Health Services",Alaska Gateway School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,,
393,Tatitlek,Unincorporated CDP,Chugach Census Area,Chugachmiut,Chugach School District,Gulf Coast Maritime,Copper River/Chugach,Gulf Coast Economic Region,,
394,Tazlina,Unincorporated CDP,Copper River Census Area,Copper River Native Association,Copper River School District,Transitional,Copper River/Chugach,Gulf Coast Economic Region,0.0,0.0
395,Tetlin,Unincorporated CDP,Southeast Fairbanks Census Area,"Tanana Chiefs Conference, Department of Health Services",Alaska Gateway School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,,
396,Tok,Unincorporated CDP,Southeast Fairbanks Census Area,"Tanana Chiefs Conference, Department of Health Services",Alaska Gateway School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,,
397,Tolsona,Unincorporated CDP,Copper River Census Area,Copper River Native Association,Copper River School District,Transitional,Copper River/Chugach,Gulf Coast Economic Region,,
398,Tuluksak,Unincorporated CDP,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Yupiit School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,,
399,Tuntutuliak,Unincorporated CDP,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Lower Kuskokwim School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,,
400,Tununak,Unincorporated CDP,Bethel Census Area,Yukon-Kuskokwim Health Corporation,Lower Kuskokwim School District,Western Transitional,Lower Yukon-Kuskokwim,Southwest Economic Region,,
401,Twin Hills,Unincorporated CDP,Dillingham Census Area,Bristol Bay Area Health Corporation,Southwest Region School District,Western Transitional,Bristol Bay,Southwest Economic Region,,
402,Venetie,Unincorporated CDP,Yukon-Koyukuk Census Area,"Council of Athabascan Tribal Governments, Incorporated",Yukon Flats School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,0.0,0.0
403,Whitestone,Unincorporated CDP,Southeast Fairbanks Census Area,"Tanana Chiefs Conference, Department of Health Services",Delta-Greely School District,Continental,Railbelt,Interior Economic Region,0.0,0.0
404,Aleneva,CDP,Kodiak Island Borough,Kodiak Area Native Association,Kodiak Island Borough School District,Gulf Coast Maritime,Kodiak,Gulf Coast Economic Region,0.0,0.0
405,Badger,CDP,Fairbanks North Star Borough,Southeast Alaska Regional Health Consortium,Fairbanks North Star Borough School District,Continental,Railbelt,Interior Economic Region,,
406,Beluga,CDP,Kenai Peninsula Borough,"Council of Athabascan Tribal Governments, Incorporated",Kenai Peninsula Borough School District,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,,
407,Chena Ridge,CDP,Fairbanks North Star Borough,Yukon-Kuskokwim Health Corporation,Fairbanks North Star Borough School District,Continental,Railbelt,Interior Economic Region,,
408,Chiniak,CDP,Kodiak Island Borough,Kodiak Area Native Association,Kodiak Island Borough School District,Gulf Coast Maritime,Kodiak,Gulf Coast Economic Region,,
409,College,CDP,Fairbanks North Star Borough,"Tanana Chiefs Conference, Department of Health Services",Fairbanks North Star Borough School District,Continental,Railbelt,Interior Economic Region,,
410,Covenant Life,CDP,Haines Borough,Southeast Alaska Regional Health Consortium,Haines Borough School District,Southeast Maritime,Southeast,Southeast Economic Region,,
411,Eielson AFB,CDP,Fairbanks North Star Borough,Bristol Bay Area Health Corporation,Fairbanks North Star Borough School District,Continental,Railbelt,Interior Economic Region,,
412,Eureka Roadhouse,CDP,Matanuska-Susitna Borough,"Tanana Chiefs Conference, Department of Health Services",Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
413,Excursion Inlet,CDP,Haines Borough,Southeast Alaska Regional Health Consortium,Haines Borough School District,Southeast Maritime,Southeast,Southeast Economic Region,,
414,Farm Loop,CDP,Matanuska-Susitna Borough,"Eastern Aleutian Tribes, Incorporated",Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
415,Farmers Loop,CDP,Fairbanks North Star Borough,"Eastern Aleutian Tribes, Incorporated",Fairbanks North Star Borough School District,Continental,Railbelt,Interior Economic Region,,
416,Ferry,CDP,Denali Borough,"Eastern Aleutian Tribes, Incorporated",Denali Borough School District,Continental,Railbelt,Interior Economic Region,,
417,Fox River,CDP,Kenai Peninsula Borough,"Tanana Chiefs Conference, Department of Health Services",Kenai Peninsula Borough School District,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,,
418,Halibut Cove,CDP,Kenai Peninsula Borough,Southeast Alaska Regional Health Consortium,Kenai Peninsula Borough School District,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,,
419,Harding-Birch Lakes,CDP,Fairbanks North Star Borough,,Fairbanks North Star Borough School District,Continental,Railbelt,Interior Economic Region,,
420,Hobart Bay,CDP,Petersburg Borough,Southeast Alaska Regional Health Consortium,,Southeast Maritime,Southeast,Southeast Economic Region,,
421,Ivanof Bay,CDP,Lake and Peninsula Borough,Bristol Bay Area Health Corporation,Lake and Peninsula Borough School District,Southwest Maritime,Bristol Bay,Southwest Economic Region,0.0,0.0
422,Kodiak Station,CDP,Kodiak Island Borough,Kodiak Area Native Association,Kodiak Island Borough School District,Gulf Coast Maritime,Kodiak,Gulf Coast Economic Region,,
423,Lakes,Locality,Matanuska-Susitna Borough,,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
424,Loring,CDP,Ketchikan Gateway Borough,Southeast Alaska Regional Health Consortium,Ketchikan Gateway Borough School District,Southeast Maritime,Southeast,Southeast Economic Region,,
425,Lutak,CDP,Haines Borough,Southeast Alaska Regional Health Consortium,Haines Borough School District,Southeast Maritime,Southeast,Southeast Economic Region,,
426,Mosquito Lake,CDP,Haines Borough,Southeast Alaska Regional Health Consortium,Haines Borough School District,Southeast Maritime,Southeast,Southeast Economic Region,,
427,Mud Bay,CDP,Haines Borough,Southeast Alaska Regional Health Consortium,Haines Borough School District,Southeast Maritime,Southeast,Southeast Economic Region,,
428,Point Possession,CDP,Kenai Peninsula Borough,Southcentral Foundation,Kenai Peninsula Borough School District,Gulf Coast Transitional,Railbelt,Gulf Coast Economic Region,0.0,0.0
429,Pope-Vannoy Landing,CDP,Lake and Peninsula Borough,Southcentral Foundation,Lake and Peninsula Borough School District,Western Transitional,Bristol Bay,Southwest Economic Region,,
430,Prudhoe Bay,CDP,North Slope Borough,"Arctic Slope Native Association, Limited",North Slope Borough School District,Arctic,North Slope,Northern Economic Region,,
431,Red Dog Mine,CDP,Northwest Arctic Borough,Maniilaq Association,Northwest Arctic Borough School District,Arctic,Northwest Arctic,Northern Economic Region,,
432,Skwentna,CDP,Matanuska-Susitna Borough,Southeast Alaska Regional Health Consortium,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
433,South Van Horn,CDP,Fairbanks North Star Borough,Bristol Bay Area Health Corporation,Fairbanks North Star Borough School District,Continental,Railbelt,Interior Economic Region,,
434,Steele Creek,CDP,Fairbanks North Star Borough,Norton Sound Health Corporation,Fairbanks North Star Borough School District,Continental,Railbelt,Interior Economic Region,,
435,Sunrise,CDP,Kenai Peninsula Borough,Yukon-Kuskokwim Health Corporation,Kenai Peninsula Borough School District,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,,
436,Susitna North,CDP,Matanuska-Susitna Borough,Southcentral Foundation,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
437,Tanaina,CDP,Matanuska-Susitna Borough,"Tanana Chiefs Conference, Department of Health Services",Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
438,Ugashik,CDP,Lake and Peninsula Borough,Bristol Bay Area Health Corporation,Lake and Peninsula Borough School District,Southwest Maritime,Bristol Bay,Southwest Economic Region,,
439,Womens Bay,CDP,Kodiak Island Borough,Kodiak Area Native Association,Kodiak Island Borough School District,Gulf Coast Maritime,Kodiak,Gulf Coast Economic Region,0.0,0.0
440,Afognak,Locality,Kodiak Island Borough,Kodiak Area Native Association,,Gulf Coast Maritime,Kodiak,Gulf Coast Economic Region,,
441,Alexander Creek,Locality,Matanuska-Susitna Borough,"Eastern Aleutian Tribes, Incorporated",,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
442,Alpine,Locality,North Slope Borough,"Tanana Chiefs Conference, Department of Health Services",,Arctic,North Slope,Northern Economic Region,,
443,Auke Bay,Locality,City and Borough of Juneau,Southeast Alaska Regional Health Consortium,Juneau Borough School District,Southeast Maritime,Southeast,Southeast Economic Region,,
444,Ayakulik,Locality,Kodiak Island Borough,Kodiak Area Native Association,,Gulf Coast Maritime,Kodiak,Gulf Coast Economic Region,,
445,Belkofski,Locality,Aleutians East Borough,"Aleutian Pribilof Islands Association, Incorporated",,Southwest Maritime,Aleutians,Southwest Economic Region,0.0,0.0
446,Birchwood,Locality,Municipality of Anchorage,"Council of Athabascan Tribal Governments, Incorporated",Anchorage School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
447,Candle,Locality,Northwest Arctic Borough,Maniilaq Association,,Arctic,Northwest Arctic,Northern Economic Region,0.0,0.0
448,Cape Lisburne,Locality,North Slope Borough,"Arctic Slope Native Association, Limited",,Arctic,North Slope,Northern Economic Region,,
449,Cape Yakataga,Locality,City and Borough of Yakutat,Chugachmiut,,Southeast Maritime,Southeast,Southeast Economic Region,,
450,Chugiak,Locality,Municipality of Anchorage,Yukon-Kuskokwim Health Corporation,Anchorage School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
451,Circle View Stampede,Locality,Matanuska-Susitna Borough,"Council of Athabascan Tribal Governments, Incorporated",Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
452,Clear,Locality,Denali Borough,Bristol Bay Area Health Corporation,,Continental,Railbelt,Interior Economic Region,,
453,Douglas,Locality,City and Borough of Juneau,Southeast Alaska Regional Health Consortium,Juneau Borough School District,Southeast Maritime,Southeast,Southeast Economic Region,,
454,Eagle River,Locality,Municipality of Anchorage,Southcentral Foundation,Anchorage School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
455,Eklutna,Locality,Municipality of Anchorage,Bristol Bay Area Health Corporation,Anchorage School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
456,Fort Wainwright,Locality,Fairbanks North Star Borough,Southcentral Foundation,Fairbanks North Star Borough School District,Continental,Railbelt,Interior Economic Region,,
457,Girdwood,Locality,Municipality of Anchorage,Southcentral Foundation,Anchorage School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
458,Jakolof Bay,Locality,Kenai Peninsula Borough,Bristol Bay Area Health Corporation,,Gulf Coast Maritime,Railbelt,Gulf Coast Economic Region,,
459,Kaguyak,Locality,Kodiak Island Borough,Kodiak Area Native Association,,Gulf Coast Maritime,Kodiak,Gulf Coast Economic Region,0.0,0.0
460,Haines,CDP,Haines Borough,Southeast Alaska Regional Health Consortium,Haines Borough School District,Southeast Maritime,Southeast,Southeast Economic Region,,
461,Klawock Lake,Unincorporated,Prince of Wales-Hyder Census Area,Southeast Alaska Regional Health Consortium,,Southeast Maritime,Southeast,Southeast Economic Region,0.0,0.0
462,Joint Base Elmendorf-Richardson,Locality,Municipality of Anchorage,Bristol Bay Area Health Corporation,Anchorage School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
463,South Lakes,CDP,Matanuska-Susitna Borough,,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
464,North Lakes,CDP,Matanuska-Susitna Borough,,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
465,Mill Bay,CDP,Kodiak Island Borough,Kodiak Area Native Association,Kodiak Island Borough School District,Gulf Coast Maritime,Kodiak,Gulf Coast Economic Region,,
466,Caswell,Locality,Matanuska-Susitna Borough,Southcentral Foundation,Matanuska-Susitna Borough School District,Transitional,Railbelt,Anchorage/Mat-Su Economic Region,,
467,Eagle Village,Unincorporated CDP,Southeast Fairbanks Census Area,"Tanana Chiefs Conference, Department of Health Services",Alaska Gateway School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,,
468,Eagle,2nd Class City,Southeast Fairbanks Census Area,"Tanana Chiefs Conference, Department of Health Services",Alaska Gateway School District,Continental,Yukon-Koyukuk/Upper Tanana,Interior Economic Region,1.0,
469,Igushik,Unincorporated,Dillingham Census Area,,Southwest Region School District,,Bristol Bay,Southwest Economic Region,,
470,Lewis Point,Unincorporated,Dillingham Census Area,,Southwest Region School District,,Bristol Bay,Southwest Economic Region,,
