X,Y,OBJECTID,CommunityName,EntityName,LocalityType,IncorporationType,IncorporationDate,BoroughOrCensusArea,PublicEducationPowers,PlanningAndLandUseRegulation,PropertyTax,SalesTax,OtherPowersNotProhibited,CityCouncilAssemblyComposition,ElectionAndTermOfMayor,VoteByMayorForCities,VetoPowerOfTheMayor,PowerOfEminentDomainCitiesOnly,AbilityToAttainHomeRuleStatus,ProvideTransportationSystems,LicenseDayCareFacilitiesBorough,ProvideAdditionalServiceBorough,DataYear,AsOfDate
-156.88237275,66.9077009200001,77,Kobuk,City of Kobuk,Community,2nd Class City,1973,Northwest Arctic Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-152.39748118,57.7930013600001,78,Kodiak,City of Kodiak,Community,Home Rule City,1940,Kodiak Island Borough,Not permitted to provide this service.,May be permitted to exercise powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Some home-rule charters require voter approval to authorize the levy of property taxes.",Rate of levy may be limited by charter. Requirements for voter approval may also be set by charter.,Possess all legislative powers not prohibited by law or charter.,Determined by charter or ordinance.,Determined by charter or ordinance.,Determined by charter or ordinance.,"Determined by charter or ordinance, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Already has home-rule status.,,,,,2018/05/18 08:00:00+00
-152.39772094,57.7931666200001,79,Kodiak Island Borough,Kodiak Island Borough,Borough,2nd Class Borough,1963,Kodiak Island Borough,Must provide the service areawide in accordance with AS 14.,"The borough must exercise the powers areawide; in accordance with AS 29.40; the borough may allow cities to assume such powers within their boundaries.","Same as in a home rule borough, except there is no charter. Still, some general law boroughs have more limited taxing authority established by local action.","No limits exist on the rate of levy; however, voter approval is required to levy sales taxes.","May be exercised areawide upon areawide voters' approval or by transfer of powers from all cities and approval of nonareawide voters; may be exercised nonareawide by approval of nonareawide voters; may be exercised on a service area basis with voter approval.","Flexible; determined according to AS 29.20.","Elected at large for a 3-year term, unless a different term not to exceed 4 years is provided by ordinance.",,May vote to break a tie vote.,,Voters may adopt home rule charter.,"May be exercised on an areawide or nonareawide basis by ordinance; approval from voters or property owners required for service area powers.","May be exercised on an areawide basis by ordinance; voter approval required for exercise on a nonareawide or service area basis.","May be exercised areawide upon approval of areawide voters or by transfer of powers from all cities; may be exercised by ordinance on a nonareawide basis; may be exercised on a service area basis with voter approval.",,2018/05/18 08:00:00+00
-163.55653659,63.0331139900001,80,Kotlik,City of Kotlik,Community,2nd Class City,1970,Kusilvak Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-162.59298933,66.8966754200001,81,Kotzebue,City of Kotzebue,Community,2nd Class City,1958,Northwest Arctic Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-161.16487363,64.9306613100001,82,Koyuk,City of Koyuk,Community,2nd Class City,1970,Nome Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-157.70270185,64.8817887800001,83,Koyukuk,City of Koyukuk,Community,2nd Class City,1973,Yukon-Koyukuk Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-132.97770415,56.81669536,84,Kupreanof,City of Kupreanof,Community,2nd Class City,1975,Petersburg Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-161.43754673,60.81122837,85,Kwethluk,City of Kwethluk,Community,2nd Class City,1975,Bethel Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-156.66764668,58.6813712700001,86,Lake and Peninsula Borough,Lake and Peninsula Borough,Borough,Non-Unified Home Rule Borough,1989,Lake and Peninsula Borough,Must provide the service areawide in accordance with AS 14.,"Must exercise the powers areawide, but not necessarily in accordance with AS 29.40.","Limited to 30 mills except where a higher levy is necessary to avoid debt; voter approval to levy property taxes is required by some charters.","The rate of levy may be limited by charter, and voter approval to levy sales taxes may be required by charter.",Determined by charter or ordinance.,"Flexible; determined according to AS 29.20.",Established by charter or ordinance AS 29.20.,,Established by charter or ordinance.,,Already has home rule status.,Determined by charter or ordinance.,Determined by charter or ordinance.,Determined by charter or ordinance.,,2018/05/18 08:00:00+00
-153.9814353,57.5370683300001,87,Larsen Bay,City of Larsen Bay,Community,2nd Class City,1974,Kodiak Island Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-160.36440167,61.5123629700001,88,Lower Kalskag,City of Lower Kalskag,Community,2nd Class City,1969,Bethel Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-159.05492998,58.97954187,89,Manokotak,City of Manokotak,Community,2nd Class City,1970,Dillingham Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-162.08816948,61.8814414300001,90,Marshall,City of Marshall,Community,2nd Class City,1970,Kusilvak Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-149.10836892,61.5997112700001,91,Matanuska-Susitna Borough,Matanuska-Susitna Borough,Borough,2nd Class Borough,1964,Matanuska-Susitna Borough,Must provide the service areawide in accordance with AS 14.,"The borough must exercise the powers areawide; in accordance with AS 29.40; the borough may allow cities to assume such powers within their boundaries.","Same as in a home rule borough, except there is no charter. Still, some general law boroughs have more limited taxing authority established by local action.","No limits exist on the rate of levy; however, voter approval is required to levy sales taxes.","May be exercised areawide upon areawide voters' approval or by transfer of powers from all cities and approval of nonareawide voters; may be exercised nonareawide by approval of nonareawide voters; may be exercised on a service area basis with voter approval.","Flexible; determined according to AS 29.20.","Elected at large for a 3-year term, unless a different term not to exceed 4 years is provided by ordinance.",,May vote to break a tie vote.,,Voters may adopt home rule charter.,"May be exercised on an areawide or nonareawide basis by ordinance; approval from voters or property owners required for service area powers.","May be exercised on an areawide basis by ordinance; voter approval required for exercise on a nonareawide or service area basis.","May be exercised areawide upon approval of areawide voters or by transfer of powers from all cities; may be exercised by ordinance on a nonareawide basis; may be exercised on a service area basis with voter approval.",,2018/05/18 08:00:00+00
-155.58835315,62.9501408500001,92,McGrath,City of McGrath,Community,2nd Class City,1975,Yukon-Koyukuk Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-166.1928612,60.38649408,93,Mekoryuk,City of Mekoryuk,Community,2nd Class City,1969,Bethel Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-163.72627562,62.08954141,94,Mountain Village,City of Mountain Village,Community,2nd Class City,1967,Kusilvak Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-161.97262602,60.6943313400001,95,Napakiak,City of Napakiak,Community,2nd Class City,1970,Bethel Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-161.75319706,60.7082335600001,96,Napaskiak,City of Napaskiak,Community,2nd Class City,1971,Bethel Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-149.09074136,64.56270921,97,Nenana,City of Nenana,Community,Home Rule City,1921,Yukon-Koyukuk Census Area,Must provide the service in accordance with AS 14.,Must exercise the powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Some home-rule charters require voter approval to authorize the levy of property taxes.",Rate of levy may be limited by charter. Requirements for voter approval may also be set by charter.,Possess all legislative powers not prohibited by law or charter.,Determined by charter or ordinance.,Determined by charter or ordinance.,Determined by charter or ordinance.,"Determined by charter or ordinance, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Already has home-rule status.,,,,,2018/05/18 08:00:00+00
-157.31128856,59.4515508600001,98,New Stuyahok,City of New Stuyahok,Community,2nd Class City,1972,Dillingham Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-154.89480018,59.72097095,99,Newhalen,City of Newhalen,Community,2nd Class City,1971,Lake and Peninsula Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-164.72996641,60.4799803000001,100,Nightmute,City of Nightmute,Community,2nd Class City,1974,Bethel Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-154.37521598,63.01373203,101,Nikolai,City of Nikolai,Community,2nd Class City,1970,Yukon-Koyukuk Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-165.40855986,64.49808969,102,Nome,City of Nome,Community,1st Class City,1901,Nome Census Area,Must provide the service in accordance with AS 14.,Must exercise the powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Voter approval is not required under State law; however, stricter limitations can be imposed at the local level.","No limit on the rate of levy of sales taxes, but voter approval is required.",May exercise other powers not prohibited by law.,"6 members elected at-large, except the council may provide for election other than at-large.","Elected at large for a 3-year term, unless a different term not to exceed 4 years is provided by ordinance.",May vote to break a tie vote on the city council.,"Has veto power, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Voters may adopt home-rule charter.,,,,,2018/05/18 08:00:00+00
-154.8575714,59.9678738700001,103,Nondalton,City of Nondalton,Community,2nd Class City,1971,Lake and Peninsula Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-161.04682576,66.83334504,104,Noorvik,City of Noorvik,Community,2nd Class City,1964,Northwest Arctic Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-147.35149648,64.7549026500001,105,North Pole,City of North Pole,Community,Home Rule City,1953,Fairbanks North Star Borough,Not permitted to provide this service.,May be permitted to exercise powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Some home-rule charters require voter approval to authorize the levy of property taxes.",Rate of levy may be limited by charter. Requirements for voter approval may also be set by charter.,Possess all legislative powers not prohibited by law or charter.,Determined by charter or ordinance.,Determined by charter or ordinance.,Determined by charter or ordinance.,"Determined by charter or ordinance, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Already has home-rule status.,,,,,2018/05/18 08:00:00+00
-156.78243874,71.29234396,106,North Slope Borough,North Slope Borough,Borough,Non-Unified Home Rule Borough,1972,North Slope Borough,Must provide the service areawide in accordance with AS 14.,"Must exercise the powers areawide, but not necessarily in accordance with AS 29.40.","Limited to 30 mills except where a higher levy is necessary to avoid debt; voter approval to levy property taxes is required by some charters.","The rate of levy may be limited by charter, and voter approval to levy sales taxes may be required by charter.",Determined by charter or ordinance.,"Flexible; determined according to AS 29.20.",Established by charter or ordinance AS 29.20.,,Established by charter or ordinance.,,Already has home rule status.,Determined by charter or ordinance.,Determined by charter or ordinance.,Determined by charter or ordinance.,,2018/05/18 08:00:00+00
-162.60007774,66.8951658300001,107,Northwest Arctic Borough,Northwest Arctic Borough,Borough,Non-Unified Home Rule Borough,1986,Northwest Arctic Borough,Must provide the service areawide in accordance with AS 14.,"Must exercise the powers areawide, but not necessarily in accordance with AS 29.40.","Limited to 30 mills except where a higher levy is necessary to avoid debt; voter approval to levy property taxes is required by some charters.","The rate of levy may be limited by charter, and voter approval to levy sales taxes may be required by charter.",Determined by charter or ordinance.,"Flexible; determined according to AS 29.20.",Established by charter or ordinance AS 29.20.,,Established by charter or ordinance.,,Already has home rule status.,Determined by charter or ordinance.,Determined by charter or ordinance.,Determined by charter or ordinance.,,2018/05/18 08:00:00+00
-150.99901621,70.21731414,108,Nuiqsut,City of Nuiqsut,Community,2nd Class City,1975,North Slope Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-158.10535466,64.7234193800001,109,Nulato,City of Nulato,Community,2nd Class City,1963,Yukon-Koyukuk Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-164.85200389,62.5310651300001,110,Nunam Iqua,City of Nunam Iqua,Community,2nd Class City,1974,Kusilvak Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-162.45740501,60.8972172800001,111,Nunapitchuk,City of Nunapitchuk,Community,2nd Class City,1969,Bethel Census Area,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-153.28367127,57.21341891,112,Old Harbor,City of Old Harbor,Community,2nd Class City,1966,Kodiak Island Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-152.50398554,57.9232638,113,Ouzinkie,City of Ouzinkie,Community,2nd Class City,1967,Kodiak Island Borough,Not permitted to provide this service.,"Not required to exercise the powers in any circumstance, but may be permitted in all cases in the manner described for first class cities.","May tax up to 20 mills, except where a higher levy is required to avoid default. Voter approval required.","No limit on the rate of levy of sales taxes; however, voter approval is required.",May exercise other powers not prohibited by law.,"7 members elected at-large, except the council may provide for election other than at-large.","Elected from the city council for a 1-year term, unless a longer term is provided by ordinance. Mayor selected by council (or by voters upon adoption of ordinance).",Votes on all matters.,Has no veto power.,"Permitted, but requires voter approval.",May not adopt home-rule charter without first reclassifying to a first-class city.,,,,,2018/05/18 08:00:00+00
-149.11775808,61.5997057600001,114,Palmer,City of Palmer,Community,Home Rule City,1951,Matanuska-Susitna Borough,Not permitted to provide this service.,May be permitted to exercise powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Some home-rule charters require voter approval to authorize the levy of property taxes.",Rate of levy may be limited by charter. Requirements for voter approval may also be set by charter.,Possess all legislative powers not prohibited by law or charter.,Determined by charter or ordinance.,Determined by charter or ordinance.,Determined by charter or ordinance.,"Determined by charter or ordinance, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Already has home-rule status.,,,,,2018/05/18 08:00:00+00
-136.22974756,57.9606687,115,Pelican,City of Pelican,Community,1st Class City,1943,Hoonah-Angoon Census Area,Must provide the service in accordance with AS 14.,Must exercise the powers in accordance with AS 29.40.,"The city may tax up to 30 mills, except where a higher levy is necessary to avoid default on debt. Voter approval is not required under State law; however, stricter limitations can be imposed at the local level.","No limit on the rate of levy of sales taxes, but voter approval is required.",May exercise other powers not prohibited by law.,"6 members elected at-large, except the council may provide for election other than at-large.","Elected at large for a 3-year term, unless a different term not to exceed 4 years is provided by ordinance.",May vote to break a tie vote on the city council.,"Has veto power, except veto is not permitted of ordinance prohibiting posession of alcohol.",Permitted by statute.,Voters may adopt home-rule charter.,,,,,2018/05/18 08:00:00+00
